trial,degree,spread,infected
1,3,5,0.1133
2,3,5,0.1533
3,3,5,0.0867
4,3,5,0.14
5,3,5,0.1133
6,3,10,0.2
7,3,10,0.1067
8,3,10,0.0867
9,3,10,0.4133
10,3,10,0.4267
11,5,5,0.3067
12,5,5,0.4867
13,5,5,0.4867
14,5,5,0.4667
15,5,5,0.68
16,5,10,0.4733
17,5,10,0.5133
18,5,10,0.54
19,5,10,0.5933
20,5,10,0.5667
